url,company,title,location,role,resume_planned,resume_used,status,applied_at,notes,applied
https://trimble.wd1.myworkdayjobs.com/TrimbleCareers/job/Data-Scientist_R51147,Trimble,Data Scientist,Chennai India,ds,mlds_other,,expired,,posting removed (verified 2026-08-31),No
https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Bengaluru-Karnataka-India/Data-Scientist_3159088-1,HP,Data Scientist,Bengaluru India,ds,mlds_bengaluru,,expired,,posting removed (verified 2026-08-31),No
https://amgen.wd1.myworkdayjobs.com/careers/job/India---Hyderabad/Data-Scientist_R-213834,Amgen,Data Scientist,Hyderabad India,ds,mlds_other,,expired,,posting removed (verified 2026-08-31),No
https://bdx.wd1.myworkdayjobs.com/EXTERNAL_CAREER_SITE_INDIA/job/Senior-ISC-Data-Scientist_R-539210-1,Becton Dickinson,Senior ISC Data Scientist,India (verify city),ds,mlds_other,,expired,confirm city before applying,posting removed (verified 2026-08-31),No
https://comcast.wd5.myworkdayjobs.com/Comcast_Careers/job/India---Chennai-Comcast-India-Engineering-Cent/Data-Science-Engineer-3_R429997,Comcast,Data Science Engineer 3,Chennai India,ds,mlds_other,,unverified,,extension lacks permission for comcast domain - could not read,No
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Data-Scientist_REF082236W,Visa,Data Scientist,Bengaluru India,ds,mlds_bengaluru,,expired,,posting removed (verified 2026-08-31),No
https://relx.wd3.myworkdayjobs.com/ElsevierJobs/job/IND---India---Home-based/data-Scientist_R109801,Elsevier (RELX),Data Scientist,India (Home-based),ds,mlds_other,,expired,,posting removed (verified 2026-08-31),No
https://www.linkedin.com/jobs/view/4446631165/,Evam Labs,Senior AI Scientist,Bengaluru India,ai,ai_bengaluru,PratikMarudwar_.pdf,applied,2026-08-29,LinkedIn Easy Apply - submitted successfully,Yes
https://www.linkedin.com/jobs/view/4456563406/,TOCUMULUS,Data Service Layer AI Engineer,Bengaluru India,ai,ai_bengaluru,,skipped,,marginal fit (data-eng/BI) + broken form (numeric-only Location field),No
https://www.linkedin.com/jobs/view/4457752639/,BTLITC,Anthropic Claude AI Engineer / Consultant,India (Remote),ai,ai_other,_pratik_marudwar.pdf,applied,2026-08-29,LinkedIn Easy Apply - Q:Claude/MCP built=Yes cert=No,Yes
https://www.linkedin.com/jobs/view/4457756555/,Quantacus,AI Implementation Engineer,Bengaluru India,ai,ai_bengaluru,PratikMarudwar_.pdf,applied,2026-08-29,LinkedIn Easy Apply - Q:SQL yrs=2 willing Bangalore=Yes,Yes
https://www.linkedin.com/jobs/view/4458365418/,Lean IT Inc.,Machine Learning Engineer,India (Remote),ml,mlds_other,Pratik.pdf,applied,2026-08-29,LinkedIn Easy Apply - uploaded local Pratik.pdf; role wants 4-8y (stretch),Yes
https://www.linkedin.com/jobs/view/4450457743/,QuantumQuake,AI Prompt Engineer,Bengaluru India,ai,ai_bengaluru,PratikMarudwar_.pdf,applied,2026-08-29,LinkedIn Easy Apply - single-step,Yes
https://www.linkedin.com/jobs/view/4456856576/,ClearDemand,Machine Learning Engineer II,India (Remote),ml,mlds_other,Pratik.pdf,applied,2026-08-29,LinkedIn Easy Apply - Q:ML=2 BigSQL=2 PySpark=2,Yes
https://www.linkedin.com/jobs/view/4457791653/,Dimensionless Technologies,Senior Data Scientist,India (Remote),ds,mlds_other,Pratik.pdf,applied,2026-08-29,LinkedIn Easy Apply - Q:bg check=Yes ML yrs=2 start immediately=No(60d notice),Yes
https://www.linkedin.com/jobs/view/4451757658/,ColigoMed,AI Engineer,Bengaluru India,ai,ai_bengaluru,PratikMarudwar_.pdf,applied,2026-08-29,LinkedIn Easy Apply - healthcare AI (strong fit),Yes
https://www.linkedin.com/jobs/view/4453415022/,Margn AI,Artificial Intelligence Engineer,India (Remote),ai,ai_other,_pratik_marudwar.pdf,applied,2026-08-29,LinkedIn Easy Apply - agentic AI; Q:Bachelors=Yes,Yes
https://www.linkedin.com/jobs/view/4456866258/,Navi,AI Scientist 1,Bengaluru India,ai,ai_bengaluru,PratikMarudwar_.pdf,applied,2026-08-29,LinkedIn Easy Apply - fintech GenAI (high match); Q:commute=Yes start immediately=No,Yes
https://www.linkedin.com/jobs/view/4457694102/,Control One | AI Startup,Computer Vision Engineer,Bengaluru India,ai,ai_bengaluru,PratikMarudwar_.pdf,applied,2026-08-31,LinkedIn Easy Apply (past-week batch) - CV role 0-2yr (great fit),Yes
https://www.linkedin.com/jobs/view/4458922852/,TECEZE,Generative AI Engineer,Bengaluru India,ai,ai_bengaluru,PratikMarudwar_.pdf,applied,2026-08-31,LinkedIn Easy Apply (past-week) - GenAI/RAG/MCP strong match; 6+yr Q answered No truthfully,Yes
https://www.linkedin.com/jobs/view/4457987029/,Data Eminence,Machine Learning Engineer,India (Remote),ml,mlds_other,Pratik.pdf,applied,2026-08-31,"LinkedIn Easy Apply (past-week) - remote ML, single-step",Yes
https://www.linkedin.com/jobs/view/4459853055/,Lifesight,Applied AI Engineer,Bengaluru India,ai,ai_bengaluru,PratikMarudwar_.pdf,applied,2026-08-31,LinkedIn Easy Apply (past-week) - Q:Beng=Yes notice=60 serving=No exp=2 CTC16.5/27,Yes
https://www.linkedin.com/jobs/view/4456855664/,EdgeVerve,Artificial Intelligence Engineer,Bengaluru India,ai,ai_bengaluru,PratikMarudwar_.pdf,applied,2026-08-31,LinkedIn Easy Apply (past-week) - Q:Python/Docker/PostgreSQL/GenAI exp=2,Yes
https://www.linkedin.com/jobs/view/4459182575/,Impetus,Machine Learning Engineer,Bengaluru India,ml,mlds_bengaluru,Pratik_.pdf,applied,2026-08-31,LinkedIn Easy Apply (past-week) - Q:ML/GenAI/Python=2,Yes
https://www.linkedin.com/jobs/view/4459767475/,Jobgether,AI Engineer / AI Automation Specialist,India (Remote),ai,ai_other,_pratik_marudwar.pdf,applied,2026-08-31,LinkedIn Easy Apply (past-week) - Q:current location Bengaluru,Yes
https://www.linkedin.com/jobs/view/4457744602/,Cloud202,AI Engineer,India (Remote),ai,ai_other,_pratik_marudwar.pdf,applied,2026-08-31,LinkedIn Easy Apply (past-week) - Q:enrolled=No AIexp=2 LLM-prod=Yes,Yes
https://www.linkedin.com/jobs/view/4459468457/,Talentgigs,AI/ML Developer,India (Remote),ai,ai_other,_pratik_marudwar.pdf,applied,2026-08-31,LinkedIn Easy Apply (past-week) - Q:exp/GenAI/Agentic=2 notice=60 ctc=16.5 IC=Yes F2F=Yes,Yes
https://www.linkedin.com/jobs/view/4457447339/,Bandhan Technologies,Artificial Intelligence Researcher,Bengaluru India,ai,ai_other,_pratik_marudwar.pdf,applied,2026-08-31,LinkedIn Easy Apply (past-week) - Q:Python/GenAI/ML=2,Yes
https://www.linkedin.com/jobs/view/4454647026/,Nekko Tech,AI/ML Associate,"Hyderabad, India",ml,mlds_other,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4459162822/,People Tech Group Careers,Artificial Intelligence Engineer,"Hyderabad, India",ai,ai_other,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4460194666/,Sony Research India,Senior Research Engineer,"Bengaluru, India (Remote)",ai,ai_bengaluru,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4456850797/,"C3iHub, IIT Kanpur",AI Engineer (Computer vision),"Kanpur, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458457964/,FMR Enterprises,"Senior Software Engineer, AI Training & Evaluation (Remote, Contract)",India (Remote),ai,ai_other,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4458501392/,OATI,AI Engineer,"Mohali, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458387295/,Glance,Applied Scientist II - Recommendation Systems,"Bengaluru, India",ai,ai_bengaluru,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4457461702/,Kuku,AI/ML Engineer,"Mumbai, India",ml,mlds_other,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4448847735/,Aditi Consulting,AI Data Engineer 2,"Hyderabad, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4459168274/,noon,Data Scientist - Growth,"Gurugram, India",ds,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458947411/,Applied Data Finance,"Data Scientist, Fraud Risk Mitigation",India (Remote),ds,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4457206119/,Taggd,Data Scientist,"Chennai, India",ds,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458727434/,BDO India,Data Scientist,India,ds,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4457453341/,Crossing Hurdles,Data Scientist (Remote),India (Remote),ds,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458978290/,Chryselys,Data Scientist (Pharma/Life Sciences/Biotech),"Hyderabad, India",ds,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4448280537/,Sonatype,Senior Data Scientist,"Hyderabad, India",ds,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458955215/,Guru Forum,Data Scientist,India,ds,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458847631/,Tricog Health,Data Scientist,"Bengaluru, India",ds,mlds_bengaluru,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4459457488/,Talentgigs,Data Engineer - Gen AI & LLM,"Bengaluru, India",ai,ai_bengaluru,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4460363598/,Nouryon,AI Solutions Analyst,"Navi Mumbai, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4457452250/,hotsourced,Data & Business Intelligence Engineer,India (Remote),ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4459772487/,ThreatXIntel,Lead AI Engineer - Generative & Agentic AI,"Chennai, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4457753918/,ThoughtSol Infotech,Generative AI Engineer,"Noida, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458995236/,Bajaj Finserv,AI/ML Engineer - GEO,"Pune, India",ml,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4456850721/,Tata Consultancy Services,GenAI Engineers,"Bengaluru, India",ai,ai_bengaluru,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4455882112/,Provue,RL Environment Researcher,"Mumbai, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458370505/,Glance,Applied Scientist III - Recommendation Systems,"Bengaluru, India",ai,ai_bengaluru,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4461041599/,Sony Research India,Multimodal AI Consultant,"Bengaluru, India",ai,ai_bengaluru,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458714525/,LUXASIA,AI Engineer - Agentic AI & Automation,"Delhi, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4459464448/,Talentgigs,AI/ML Developer,"Chennai, India",ml,mlds_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4459644901/,AiLogic Neural Network,Data Engineer,"Hyderabad, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458953251/,Kaplan,Senior AI Engineer,"Bengaluru, India",ai,ai_bengaluru,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458935431/,SymphonyAI Group,AI-QA,India,ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4458357648/,Health Catalyst,Data Engineer - Analytics & AWS,"Hyderabad, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4456681715/,Quess Corp,Gen AI Engineer,"Hyderabad, India",ai,ai_other,,pending,,"harvested 2026-08-31 (last-week, India, 0-3yr)",No
https://www.linkedin.com/jobs/view/4457752858/,ERP Logic,AI Bot Developer & Business Analyst,India (Remote),ai,ai_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4458870362/,Hirely,ML Engineer - Coding Agent Experience,India (Remote),ml,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4460865913/,Quik Hire Staffing,Machine Learning Researcher,India (Remote),ml,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4461044075/,Hired,Algorithm Engineer,India (Remote),ai,ai_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4458965484/,Micron Technology,AI & Automation Engineer,"Hyderabad, India",ai,ai_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4461042124/,Hire Feed,Senior Engineer - AI Platforms,India (Remote),ai,ai_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4457696447/,PeoplePilot,AI/ML Engineer,"Bengaluru, India",ml,mlds_bengaluru,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4457650979/,Infosys,GenAI Developer,"Bengaluru, India",ai,ai_bengaluru,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4449363855/,super.money,Data Scientist,"Bengaluru, India",ds,mlds_bengaluru,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4456216281/,Eloelo,Data Scientist,"Bengaluru, India",ds,mlds_bengaluru,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4460110443/,Aditya Birla Capital,Data Scientist,"Maharashtra, India",ds,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4460867331/,Hire Feed,Data Scientist,India,ds,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4456167357/,Kotak Mahindra Bank,Data Scientist,"Bengaluru, India",ds,mlds_bengaluru,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4460868060/,Quik Hire Staffing,Data Science Engineer,India (Remote),ds,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4450094875/,GyanSys Inc.,AI Engineer (Junior),"Bengaluru, India",ai,ai_bengaluru,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4448954700/,Aventra.AI,Junior AI Engineer,"Hyderabad, India",ai,ai_other,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4461053124/,Hire Feed,Data Scientist,India (Remote),ds,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4452563654/,HCLTech,Generative AI Engineer,India,ai,ai_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4452239483/,Intangles,Machine Learning Engineer,"Pune, India",ml,mlds_other,,external,,external apply (not Easy Apply) - manual only,No
https://www.linkedin.com/jobs/view/4383739897/,DP World,Machine Learning Scientist,"Bengaluru, India",ml,mlds_bengaluru,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4453567491/,MathCo,Data Scientist - II,India,ds,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4452376210/,SalesPanda,Artificial Intelligence Engineer,"New Delhi, India",ai,ai_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4455710662/,Rusk Media,Data Scientist,"Delhi, India",ds,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4461038419/,Hire Feed,ML Researcher,India (Remote),ml,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4454702237/,Optimum Solutions,AI Data Engineer cum Data Scientist,"Chennai, India",ds,mlds_other,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
https://www.linkedin.com/jobs/view/4447911724/,iMerit Technology,ML Engineer - Multimodal AI & Agentic,"Bengaluru, India",ml,mlds_bengaluru,,pending,,"harvested 2026-08-31 (India, 0-3yr, last 30d)",No
